ID,YEAR,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,QV2M,T2M,VACATION_RATE
1,1982,-258.394285714286,27.5828571428571,12.8242857142857,71.08,91.9557142857143,3.69571428571429,9.56428571428572,18.7071428571429,64.129614093058
2,1982,-258.795714285714,28.4557142857143,14.0985714285714,69.4485714285714,91.9,3.40428571428571,10.1242857142857,19.8657142857143,42.6252432300838
3,1982,-258.68,28.1757142857143,13.7085714285714,66.2171428571429,91.9857142857143,4.12571428571429,9.53714285714286,19.9157142857143,52.9120197247613
4,1982,-258.8,28.4585714285714,14.11,67.2671428571429,92.0385714285714,4.41285714285714,10.08,20.3257142857143,39.4197600872011
5,1982,-257.401428571429,30.0371428571429,14.29,61.5271428571429,91.9028571428571,3.22714285714286,9.33142857142857,21.0814285714286,46.5443315854965
6,1982,-256.32,31.7628571428571,14.9357142857143,56.8757142857143,91.8228571428572,3.66857142857143,9.56428571428572,22.7585714285714,29.4493091102045
7,1982,-254.902857142857,33.4742857142857,15.2257142857143,43.5185714285714,91.8128571428572,3.32285714285714,7.79428571428571,23.9671428571429,55.9912290975181
8,1982,-253.368571428571,35.0057142857143,15.2228571428571,39.5,91.8214285714286,4.18571428571429,6.94142857142857,24.7642857142857,71.839463207712
9,1982,-254.957142857143,34.7742857142857,16.5814285714286,40.8742857142857,91.8514285714286,3.67714285714286,7.87285714285714,25.6571428571429,41.8728051910403
10,1982,-256.371428571429,36.3771428571429,19.5985714285714,36.4457142857143,91.7571428571429,2.89571428571429,8.31857142857143,27.9371428571429,19.7633475330965
11,1982,-254.688571428571,36.8228571428571,18.3628571428571,34.8585714285714,91.6671428571429,3.90285714285714,7.46428571428571,27.5042857142857,39.071996164653
12,1982,-255.314285714286,36.3614285714286,18.5242857142857,34.3485714285714,91.6471428571429,3.84857142857143,7.67285714285714,27.5557142857143,34.1326059124849
13,1982,-256.308571428571,37.1942857142857,20.3528571428571,41.1785714285714,91.6828571428571,3.96285714285714,10,28.8357142857143,0.515041888343053
14,1982,-255.948571428571,37.9642857142857,20.7642857142857,36.1442857142857,91.7371428571429,3.83571428571429,9.13,29.5485714285714,3.82333735175465
15,1982,-256.582857142857,37.1985714285714,20.63,40.2228571428571,91.6142857142857,3.90714285714286,9.47714285714286,28.7457142857143,3.16441204068435
16,1982,-260.618571428571,35.2085714285714,22.6728571428571,49.1442857142857,91.53,2.48714285714286,12.5114285714286,28.6671428571429,15.7308914623486
17,1982,-260.658571428571,34.0542857142857,21.5642857142857,56.4814285714286,91.5585714285714,2.47714285714286,13.2971428571429,27.4271428571429,19.0820946141511
18,1982,-262.677142857143,31.1885714285714,20.7142857142857,69.0985714285714,91.7328571428572,2.99,14.98,25.7042857142857,32.7620680949264
19,1982,-260.745714285714,33.1242857142857,20.7228571428571,61.2514285714286,91.5914285714286,2.47857142857143,14.0628571428571,26.7514285714286,26.3614066201486
20,1982,-261.347142857143,31.7814285714286,19.9785714285714,65.58,91.6728571428571,2.75,13.9057142857143,25.5628571428571,14.0867615488031
21,1982,-260.035714285714,33.8914285714286,20.78,59.2142857142857,91.3857142857143,3.19857142857143,13.4171428571429,26.86,16.6516065549271
22,1982,-265.047142857143,29.08,20.98,78.9014285714286,91.34,4.87428571428571,16.0414285714286,24.1885714285714,35.0654279944353
23,1982,-266.032857142857,27.7457142857143,20.6285714285714,82,91.2942857142857,5.17,16.1728571428571,23.6085714285714,30.3435425708393
24,1982,-265.987142857143,25.9385714285714,18.7742857142857,82.6542857142857,91.4557142857143,6.39571428571429,14.6142857142857,21.7857142857143,1.64498491480363
25,1982,-265.262857142857,26.0042857142857,18.1171428571429,80.0457142857143,91.5985714285714,6.37571428571429,13.7057142857143,21.4457142857143,0.12005559510112
26,1982,-263.594285714286,27.8985714285714,18.3471428571429,75.75,91.5257142857143,5.28285714285714,13.6985714285714,22.5071428571429,0.374460188015981
27,1982,-263.78,28.8885714285714,19.5228571428571,76.6171428571429,91.46,5.51714285714286,14.7542857142857,23.4742857142857,9.89384246665658
28,1982,-265.155714285714,26.6671428571429,18.6728571428571,80.9542857142857,91.38,6.15428571428571,14.4471428571429,22.0042857142857,1.5633843406148
29,1982,-265.268571428571,26.4671428571429,18.5885714285714,79.5985714285714,91.3571428571429,7.40714285714286,14.0814285714286,21.8928571428571,0.371774495279016
30,1982,-265.04,27.2371428571429,19.1257142857143,81.2214285714286,91.5485714285714,5.85857142857143,14.8757142857143,22.4942857142857,5.58930340404073
31,1982,-265.028571428571,27.25,19.1271428571429,81.6771428571429,91.4585714285714,5.54857142857143,15.0314285714286,22.5285714285714,6.92660352793544
32,1982,-265.208571428571,26.8685714285714,18.9257142857143,81.8114285714286,91.4228571428571,6.83142857142857,14.6914285714286,22.1214285714286,2.96905837867004
33,1982,-264.354285714286,26.8828571428571,18.0871428571429,80.8757142857143,91.5142857142857,6.81285714285714,14.1514285714286,21.7385714285714,0.320779560874402
34,1982,-263.288571428571,28.5328571428571,18.6714285714286,77.9628571428571,91.5485714285714,6.25285714285714,14.4314285714286,22.7985714285714,3.96383008360074
35,1982,-261.514285714286,30.34,18.7057142857143,72.8657142857143,91.6,4.95857142857143,13.9671428571429,23.7228571428571,4.60443788278749
36,1982,-261.098571428571,30.3371428571429,18.2885714285714,70.1871428571429,91.5457142857143,5.89857142857143,13.1571428571429,23.4657142857143,0.410002159194717
37,1982,-262.711428571429,29.1985714285714,18.7614285714286,74.8214285714286,91.5342857142857,3.54857142857143,14.3,23.4871428571429,5.98918682522878
